anio,mes,punto_conteo,liviano,dos_tres_ejes,cuatro_ejes,cinco_mas_ejes,autobus,total,ubicacion
2023,Diciembre,31550,202175,10037,5012,974,949,219147,Castro Madriz Sector B
2023,Diciembre,41960,677835,52751,39222,129696,4385,903889,Orotina
2023,Diciembre,500,955531,60599,2593,2280,34475,1055478,Sabana San Jose
2023,Diciembre,54950,513565,63858,4343,33847,3132,618745,Turrucares
2023,Diciembre,62180,476654,62303,4262,50946,3963,598128,Balsa de Atenas
2023,Diciembre,7100,1945245,116534,4844,14923,20118,2101664,Santa Ana
2023,Diciembre,71335,505359,41745,26381,88453,8363,670301,Pozon de Orotina
2023,Diciembre,75400,487395,6274,43585,63533,5977,606764,Caldera
2024,Enero,10540,1148416,43477,482,4019,42105,1238499,Santa Ana Ciudad Colon
2024,Enero,22450,337993,29983,2504,19909,5256,395645,Ciudad Colon
2024,Enero,2900,1342145,62177,787,3407,51364,1459880,Escazu
2024,Enero,30620,333789,35264,8194,20442,4323,402012,Castro Madriz Sector A
2024,Enero,31550,195825,10594,4518,944,833,212714,Castro Madriz Sector B
2024,Enero,41960,100183,10359,2421,6012,1380,120355,Orotina
2024,Enero,500,968639,62762,2178,2024,37730,1073333,Sabana San Jose
2024,Enero,54950,535414,56584,13235,32823,7021,645077,Turrucares
2024,Enero,62180,425136,56532,1872,45727,3813,533080,Balsa de Atenas
2024,Enero,7100,1188847,55118,764,3097,45519,1293345,Santa Ana
2024,Enero,71335,520687,40924,24524,81610,6202,673947,Pozon de Orotina
2024,Enero,75400,491530,7238,45868,73739,5815,624190,Caldera
2024,Febrero,10540,1082081,69098,3089,3718,35102,1193088,Santa Ana Ciudad Colon
2024,Febrero,22450,318469,27846,2489,18494,5891,373189,Ciudad Colon
2024,Febrero,2900,981364,63448,3297,3637,32577,1084323,Escazu
2024,Febrero,30620,667496,66477,18636,36352,6647,795608,Castro Madriz Sector A
2024,Febrero,31550,192233,10453,4104,1120,1016,208926,Castro Madriz Sector B
2024,Febrero,41960,592209,59736,2240,35739,3667,693591,Orotina
2024,Febrero,500,973433,69563,4140,3465,34997,1085598,Sabana San Jose
2024,Febrero,54950,341425,39991,1542,26578,2266,411802,Turrucares
2024,Febrero,62180,425785,55024,1771,47380,3039,532999,Balsa de Atenas
2024,Febrero,7100,1053336,65771,2957,3732,33808,1159604,Santa Ana
2024,Febrero,71335,513070,70671,1874,78433,5098,669146,Pozon de Orotina
2024,Febrero,75400,407603,3652,42923,83969,4773,542920,Caldera
2024,Marzo,10540,1335001,105429,3487,12142,16955,1473014,Santa Ana Ciudad Colon
2024,Marzo,22450,291377,52329,3675,30304,3374,381059,Ciudad Colon
2024,Marzo,2900,1208758,39975,211,4569,40762,1294275,Escazu
2024,Marzo,30620,513062,61782,1735,39911,2452,618942,Castro Madriz Sector A
2024,Marzo,31550,204995,10307,5332,1017,1069,222720,Castro Madriz Sector B
2024,Marzo,41960,386827,40475,1569,23972,2148,454991,Orotina
2024,Marzo,500,1089114,74454,3150,2871,37683,1207272,Sabana San Jose
2024,Marzo,54950,554818,68607,2138,45574,3430,674567,Turrucares
