"Año","Mes","Puesto de Peaje","Liviano","Medianos","Cuatro Ejes","Furgón","Motocicletas","Autobus","Total"
"2022","Mayo      ","Zurquí","116477","19616","","23888","6081","4119","170181"
"2022","Abril     ","Zurquí","123694","18502","","21665","5839","4842","174542"
"2022","Marzo     ","Zurquí","133717","21460","","27207","6666","5005","194055"
"2022","Febrero   ","Zurquí","120900","15967","","20261","5378","4251","166757"
"2022","Enero     ","Zurquí","132017","15011","","18729","5970","4620","176347"
"2021","Noviembre ","Zurquí","126456","15677","","18885","5739","4026","170783"
"2021","Octubre   ","Zurquí","121869","14675","","18973","5704","3800","165021"
"2021","Agosto    ","Zurquí","111797","14754","","17659","4900","3563","152673"
"2021","Julio     ","Zurquí","109213","13432","","16527","4639","3384","147195"
"2021","Junio     ","Zurquí","106693","13767","","17509","4584","2988","145541"
"2021","Mayo      ","Zurquí","100375","13871","","17662","4602","2796","139306"
"2021","Abril     ","Zurquí","100000","14130","","18448","4560","2864","140002"
"2021","Marzo     ","Zurquí","133408","17380","","21660","5900","3185","181533"
"2021","Febrero   ","Zurquí","105817","12779","","16500","4845","2725","142666"
"2021","Enero     ","Zurquí","115038","12682","","15377","4863","3078","151038"
"2020","Diciembre ","Zurquí","121223","13442","","15970","5429","2960","159024"
"2020","Noviembre ","Zurquí","109965","14109","","15916","5322","2254","147566"
"2020","Octubre   ","Zurquí","92348","13272","","15749","5203","1633","128205"
"2020","Setiembre ","Zurquí","93407","13473","","14640","4634","1508","127662"
"2020","Agosto    ","Zurquí","83215","13811","","15824","4210","1430","118490"
"2020","Julio     ","Zurquí","69361","12421","","14632","3520","1023","100957"
"2020","Junio     ","Zurquí","77482","13481","","16760","3832","1267","112822"
"2020","Mayo      ","Zurquí","76891","12869","","15625","3993","1242","110620"
"2020","Abril     ","Zurquí","48208","10230","","14256","2771","686","76151"
"2020","Marzo     ","Zurquí","97260","18701","","25965","5808","4178","151912"
"2020","Febrero   ","Zurquí","120083","19269","","23696","5815","6135","174998"
"2020","Enero     ","Zurquí","122241","17854","","21939","5256","6447","173737"
